ID	Length	Adenine	Cytosine	Guanine	Thymine	N	GCcontent	Errors
0|*|c37667_g1_i4	20722	19.2645497538848	30.513463951356	29.5820866711707	20.6398996235885	0	60.0955506225268	0
1|*|c37686_g3_i1	18593	21.4112838164901	29.9467541547894	28.0858387565213	20.5561232721992	0	58.0325929113107	0
2|*|c37680_g1_i7	17523	19.6541688067112	29.3214632197683	33.3504536894367	17.6739142840838	0	62.6719169092051	0
3|*|c37685_g3_i1	16587	20.238741182854	29.2096219931272	28.3836739615361	22.1679628624827	0	57.5932959546633	0
4|*|c37666_g5_i6	16336	18.4561704211557	31.849902056807	31.6234084231146	18.0705190989226	0	63.4733104799216	0
5|*|c37515_g1_i2	16209	21.0253562835462	28.4533283978037	27.9721142575113	22.5492010611389	0	56.425442655315	0
6|*|c37669_g2_i10	15859	20.6885680055489	28.1732770035942	29.1191121760515	22.0190428148055	0	57.2923891796456	0
7|*|c37682_g1_i8	15616	18.500256147541	31.8135245901639	30.5455942622951	19.140625	0	62.359118852459	0
8|*|c37560_g2_i3	15137	21.5498447512717	31.5452203210676	27.6342736341415	19.2706612935192	0	59.1794939552091	0
9|*|c37669_g2_i2	15052	21.6383204889716	26.767207015679	28.0494286473558	23.5450438479936	0	54.8166356630348	0
10|*|c37642_g2_i1	14966	21.6089803554724	28.4177468929574	26.680475745022	23.2927970065482	0	55.0982226379794	0
11|*|c37595_g3_i9	13573	16.6728063066382	30.8406395048994	32.88145583143	19.6050983570323	0	63.7220953363295	0
12|*|c37684_g4_i7	13365	18.9749345304901	29.6371118593341	31.2308267863823	20.1571268237935	0	60.8679386457164	0
13|*|c37630_g4_i2	12979	19.3158178596194	28.4921796748594	28.8080745820171	23.3839278835041	0	57.3002542568765	0
14|*|c37558_g1_i1	12742	19.4474964683723	31.8238894992937	30.8507298697222	17.8778841626118	0	62.6746193690159	0
15|*|c37610_g1_i2	12680	21.096214511041	32.7365930599369	28.6829652996845	17.4842271293375	0	61.4195583596214	0
16|*|c35811_g1_i1	11711	22.0476475108872	30.0315942276492	27.5040560157117	20.4167022457519	0	57.5356502433609	0
17|*|c37684_g4_i4	11701	18.5881548585591	29.1940859755576	30.9631655414067	21.2545936244765	0	60.1572515169644	0
18|*|c37560_g2_i5	11514	22.0079902727115	31.2836546812576	27.0453361125586	19.6630189334723	0	58.3289907938162	0
19|*|c37661_g4_i6	11435	17.9011805859204	32.5754263226935	31.1412330564058	18.3821600349803	0	63.7166593790993	0
20|*|c37566_g1_i2	11130	18.544474393531	31.7250673854447	29.4429469901168	20.2875112309075	0	61.1680143755615	0
21|*|c37688_g1_i1	11070	20.1987353206865	30.3794037940379	29.2140921409214	20.2077687443541	0	59.5934959349593	0
22|*|c37668_g3_i1	11058	17.4715138361367	31.5699041417978	31.3076505697233	19.6509314523422	0	62.8775547115211	0
23|*|c37617_g1_i1	10869	19.5326156960162	31.6404453031558	29.8463520103045	18.9805869905235	0	61.4867973134603	0
24|*|c37636_g6_i2	10819	22.173953230428	30.9917737313985	26.1946575469082	20.6396154912654	0	57.1864312783067	0
25|*|c37652_g1_i6	10771	20.0445641073252	30.6471079751184	30.0436356884226	19.2646922291338	0	60.690743663541	0
26|*|c37638_g2_i4	10660	18.0581613508443	30.7692307692308	31.2382739212007	19.9343339587242	0	62.0075046904315	0
27|*|c37417_g3_i1	10644	17.662532882375	31.9804584742578	30.9751972942503	19.3818113491169	0	62.9556557685081	0
28|*|c36538_g3_i1	10611	20.7426255772312	30.0914145697861	29.0641786824993	20.1017811704835	0	59.1555932522854	0
29|*|c36876_g1_i1	10593	22.6659114509582	28.5565939771547	26.1493439063533	22.6281506655338	0	54.705937883508	0
30|*|c37575_g6_i3	10057	18.0968479665904	29.9294024062842	32.5743263398628	19.3994232872626	0	62.503728746147	0
31|*|c37615_g1_i1	10011	24.8027170112876	27.729497552692	23.6240135850564	23.8437718509639	0	51.3535111377485	0
32|*|c37556_g1_i1	9952	18.9911575562701	28.7379421221865	30.1748392282958	22.0960610932476	0	58.9127813504823	0
33|*|c37617_g2_i7	9709	18.0245133381399	32.3926253991142	31.8158409722937	17.7670202904522	0	64.208466371408	0
34|*|c37540_g1_i2	9611	21.0383935074394	29.3829986473832	28.0928103215066	21.4857975236708	0	57.4758089688898	0
35|*|c37672_g2_i8	9547	19.0216822038337	30.7845396459621	31.8948360741594	18.2989420760448	0	62.6793757201215	0
36|*|c37565_g3_i1	9408	20.7801870748299	26.6900510204082	27.6573129251701	24.8724489795918	0	54.3473639455782	0
37|*|c37612_g3_i2	9248	18.7932525951557	29.8659169550173	30.5255190311419	20.8153114186851	0	60.3914359861592	0
38|*|c37537_g1_i2	9092	20.5015398152222	29.6744390673119	28.4205895292565	21.4034315882094	0	58.0950285965684	0
39|*|c37476_g1_i1	9001	20.6310409954449	30.2855238306855	30.8076880346628	18.2757471392068	0	61.0932118653483	0
40|*|c37462_g1_i5	8968	19.8595004460303	31.4005352363961	29.1480820695807	19.5918822479929	0	60.5486173059768	0
